Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EDUC","803","Structural Equation Modeling","EDUC803","N/A","N/A","N/A"
"EDUC","835","Independent Study","EDUC835","17","N/A","N/A"
"EDUC","863","Plng, Analys&InstRes","EDUC863","N/A","Graduate standing.","N/A"
"EDUC","864","Students in U.S. HE","EDUC864","23","Graduate standing.","N/A"
"EDUC","865","Eval&Assessmt P S E","EDUC865","N/A","N/A","N/A"
"EDUC","868","Higher Education Leadership: Theory, Practice, and Contemporary Issues","EDUC868","N/A","CSHPE core; graduate standing.","N/A"
"EDUC","870","International HE","EDUC870","45","Graduate standing.","N/A"
"EDUC","873","Race,Eth&Gend Hi Ed","EDUC873","N/A","Graduate standing.","N/A"
"EDUC","874","Law & Higher Educ","EDUC874","63","Graduate standing.","N/A"
"EDUC","888","Qualifying Paper Preparation Workshop","EDUC888","N/A","N/A","N/A"
"EDUC","889","Qualifying Paper A","EDUC889","N/A","N/A","N/A"
"EDUC","895","Logic of Inquiry","EDUC895","N/A","Educ. 695 or equivalent.","N/A"
"EDUC","896","Engaging in the Practice of Writing Educational Research","EDUC896","0","N/A","N/A"
"EDUC","897","Race and Social Justice Institute","EDUC897","0","N/A","N/A"
"EDUC","898","Professionl Dev Sem","EDUC898","0","N/A","N/A"
"EDUC","899","Qualifying Paper B","EDUC899","N/A","N/A","EDUC 889; S grade required"
"EDUC","990","Diss-Precand","EDUC990","N/A","Election for dissertation work by doctoral student not yet admitted as a Candidate.","N/A"
"EDUC","991","Scholarly Paper","EDUC991","N/A","N/A","N/A"
"EDUC","992","Portfolio","EDUC992","N/A","N/A","N/A"
"EDUC","995","Diss-Cand","EDUC995","N/A","N/A","Candidate"
"EDUCONL","500","Foundations for Leading","EDUCONL500","N/A","N/A","N/A"
"EDUCONL","501","How People Learn","EDUCONL501","N/A","N/A","N/A"
"EDUCONL","502","Action Research","EDUCONL502","N/A","N/A","N/A"
"EDUCONL","503","Entrepreneurial Leadership","EDUCONL503","N/A","EDUCONL 502 Action Research","N/A"
"EDUCONL","504","Data-Driven Decision Making","EDUCONL504","N/A","N/A","EDUCONL 503"
"EDUCONL","506","Leading Effective Collaboration","EDUCONL506","N/A","N/A","EDUCONL 505"
"EDUCONL","507","Capstone","EDUCONL507","N/A","EDUC 506 Leading Effective Collaboration","N/A"
"EDUCONL","508","Strategic School Leadership","EDUCONL508","N/A","EDUCONL 502 Action Research","N/A"
"EEB","300","Undergrad Research","EEB300","N/A","Eight credits of biology and 3.0 grade point average in science; permission of faculty member in EEB.","N/A"
"EEB","301","Active Learning Assistant","EEB301","N/A","BIOLOGY 171, 172 (or 174), & 173 (or 196); or BIOLOGY 192 & 173 (or 196); or BIOLOGY 195 & 173 (or 196); AND experience in the target course subject matter.","N/A"
"EEB","302","Teaching Experience for Undergraduates","EEB302","N/A","N/A","N/A"
"EEB","303","Topics in Biology","EEB303","15","Recommended prerequisites will be established at the class level by the section instructors.","N/A"
"EEB","312","Preparing for Graduate School in Biology","EEB312","0","Upper-level Program in Biology major and plans to pursue graduate school in the biological sciences","N/A"
"EEB","313","Geobiology","EEB313","9","One of the following: EARTH 119, BIOLOGY 171, EARTH 131, or CHEM 130","N/A"
"EEB","315","The Ecology and Evolution of Infectious Diseases","EEB315","2","BIOLOGY 100; or BIOLOGY 171, 172 (or 174) & 173 (or 196); or BIOLOGY 195 & 173 (or 196)","N/A"
"EEB","321","Rivers, Lakes, and Wetlands: Introduction to Aquatic Ecosystems (UMBS)","EEB321","N/A","One course in BIOLOGY","N/A"
"EEB","325","Memes, Measles and Misinformation","EEB325","16","N/A","N/A"
"EEB","330","Field Ornithology (UMBS)","EEB330","N/A","Two college-level courses in biology.","N/A"
"EEB","335","Biodiversity Research Seminar","EEB335","N/A","Recommended grade of at least B in BIOLOGY introductory courses","BIOLOGY 171, 172 (or 174), & 173 (or 196); or BIOLOGY 192 & 173 (or 196); or BIOLOGY 195 & 173 (or 196)"
"EEB","348","Forest Ecosystems: Ecology, Conservation, and Management (UMBS)","EEB348","N/A","BIOLOGY 171, 172 (or 174), & 173 (or 196); or BIOLOGY 192 & 173 (or 196); or BIOLOGY 195 & 173 (or 196).","N/A"
"EEB","349","Coastal Ecology and Sustainability","EEB349","6","N/A","N/A"
"EEB","362","Primate Evolutionary Ecology","EEB362","12","An introductory course on primates, ecology, or conservation biology is advised. No quantitative or statistical training is required.","N/A"
"EEB","372","General Ecology Laboratory","EEB372","24","BIOLOGY 171, 172 (or 174) & 173 (or 196); or BIOLOGY 195 & 173 (or 196); AND concurrent or prior enrollment in BIOLOGY 281/ENVIRON 281","N/A"
"EEB","373","General Ecology Lab (UMBS)","EEB373","17","BIOLOGY 171, (172 or 174) and 173; or BIOLOGY 195 and 173; AND a laboratory course in CHEM","N/A"
"EEB","375","Insights from Trees","EEB375","N/A","N/A","N/A"
"EEB","380","Oceanography: Marine Ecology","EEB380","N/A","BIOLOGY 171, (172 or 174) & 173; or BIOLOGY 192 & 173; or BIOLOGY 195 & 173; and one term of college CHEM or PHYSICS","N/A"
"EEB","381","General Ecology","EEB381","19","BIOLOGY 171, (172 or 174) & 173; or BIOLOGY 195 & 173; AND a laboratory course in CHEM","N/A"
